"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1709-10","USD","1709-10-0","Metrô Tucuruvi","0","72915"
"1709-10","USD","1709-10-1","Jd. Joana D'arc","1","69504"
"1709-21","U__","1709-21-0","Metrô Tucuruvi","0","72916"
"1720-10","USD","1720-10-0","Cantareira","0","72291"
"1720-10","USD","1720-10-1","Jd. Guancã","1","72292"
"1720-21","USD","1720-21-0","Metrô Tucuruvi","0","52936"
"1721-10","USD","1721-10-0","Metrô Carandiru","0","80423"
"1722-10","USD","1722-10-0","Metrô Tucuruvi","0","82226"
"1722-10","USD","1722-10-1","Jd. Marina","1","82227"
"1726-10","USD","1726-10-0","Metrô Santana","0","52429"
"1726-10","USD","1726-10-1","Cem. Pq. Dos Pinheiros","1","72370"
"172J-10","USD","172J-10-0","Tatuapé","0","79581"
"172J-10","USD","172J-10-1","Jd. Brasil","1","70928"
"172K-10","USD","172K-10-0","Metrô Tatuapé","0","63523"
"172K-10","USD","172K-10-1","Jd. Tremembé","1","59869"
"172N-10","USD","172N-10-0","Metrô Belém","0","60354"
"172N-10","USD","172N-10-1","Shop. Center Norte","1","71105"
"172P-10","USD","172P-10-0","Metrô Belém","0","53714"
"172P-10","USD","172P-10-1","Vl. Zilda","1","79831"
"172R-10","USD","172R-10-0","Metrô Belém","0","72285"
"172R-10","USD","172R-10-1","Jaçanã","1","63503"
"172U-10","USD","172U-10-0","Mooca","0","80971"
"172U-10","USD","172U-10-1","Cem. Pq. Dos Pinheiros","1","82562"
"172X-10","USD","172X-10-0","Metrô Tatuapé","0","72368"
"172X-10","USD","172X-10-1","Pq. Novo Mundo","1","72369"
"172Y-10","USD","172Y-10-0","Metrô Belém","0","72287"
"172Y-10","USD","172Y-10-1","Vl. Constança","1","72288"
"1730-10","USD","1730-10-0","Metrô Santana","0","70938"
"1730-10","USD","1730-10-1","Center Norte","1","70682"
"1732-10","USD","1732-10-0","Term. Amaral Gurgel","0","82108"
"1732-10","USD","1732-10-1","Vl. Sabrina","1","72282"
"1738-10","USD","1738-10-0","Metrô Santana","0","56833"
"1738-10","USD","1738-10-1","Vl. Constança","1","82173"
"1741-10","USD","1741-10-0","Metrô Santana","0","80103"
"1741-10","USD","1741-10-1","Vl. Dionisia","1","71674"
"1742-10","USD","1742-10-0","Metrô Santana","0","80599"
"1742-10","USD","1742-10-1","Jd. Antártica","1","69928"
"1743-10","USD","1743-10-0","Shop. D","0","63641"
"1743-10","USD","1743-10-1","Jd. Pery Alto","1","81847"
"1744-10","USD","1744-10-0","Metrô Santana","0","80105"
"1744-10","USD","1744-10-1","Lauzane Paulista","1","69947"
"1745-10","USD","1745-10-0","Shop. Center Norte","0","82380"
"1745-10","USD","1745-10-1","Vl.nova Cachoeirinha","1","82381"
"174M-10","USD","174M-10-0","Museu Do Ipiranga","0","78725"
"174M-10","USD","174M-10-1","Vl. Sabrina","1","78726"
"1756-10","USD","1756-10-0","Metrô Santana","0","80106"
"1756-10","USD","1756-10-1","Pedra Branca","1","82473"
"1757-10","US_","1757-10-0","Metrô Santana ","0","56298"
"1758-10","USD","1758-10-0","Metrô Santana","0","80107"
"1758-10","USD","1758-10-1","Jd. Antártica","1","53039"
"1759-10","USD","1759-10-0","Metrô Santana","0","80108"
"1759-10","USD","1759-10-1","Jd. Pery","1","69952"
"175P-10","USD","175P-10-0","Ana Rosa","0","60972"
"175P-10","USD","175P-10-1","Metrô Santana","1","71352"
"175T-10","USD","175T-10-0","Metrô Jabaquara","0","70489"
"175T-10","USD","175T-10-1","Metrô Santana","1","61848"
"1760-10","USD","1760-10-0","Shop. Center Norte","0","69587"
"1760-10","USD","1760-10-1","Cohab Antártica","1","81147"
"1764-10","USD","1764-10-0","Metrô Santana","0","53087"
"1764-10","USD","1764-10-1","Jd. Corisco","1","71615"
"1765-10","USD","1765-10-0","Metrô Tucuruvi","0","82174"
"1765-10","USD","1765-10-1","Jd. Cabuçu","1","82175"
"1767-10","USD","1767-10-0","Metrô Tucuruvi","0","82176"
"1767-10","USD","1767-10-1","Pq. Edu Chaves","1","82177"
"1771-10","US_","1771-10-0","Metrô Santana","0","69953"
"1771-10","US_","1771-10-1","Jd. Fontális","1","69954"
"1772-10","USD","1772-10-0","Metrô Tucuruvi","0","82180"
"1772-10","USD","1772-10-1","Jd. Filhos Da Terra","1","82181"
"1773-10","USD","1773-10-0","Mandaqui","0","53419"
"1773-10","USD","1773-10-1","Cem. Pq. Dos Pinheiros","1","53420"
"1775-10","USD","1775-10-0","Shop. Center Norte","0","82382"
"1775-10","USD","1775-10-1","Vl. Albertina","1","82383"
"1778-10","USD","1778-10-0","Metrô Santana","0","80418"
"177H-10","U__","177H-10-0","Cid. Universitária","0","80436"
"177H-10","U__","177H-10-1","Metrô Santana","1","80100"
"177Y-10","USD","177Y-10-0","Pinheiros","0","63736"
"177Y-10","USD","177Y-10-1","Metrô Barra Funda","1","63737"
"1780-10","USD","1780-10-0","Metrô Parada Inglesa","0","79620"
"1780-10","USD","1780-10-1","Jd. Hebron","1","79621"
"1782-10","USD","1782-10-0","Metrô Santana","0","64672"
"1783-10","USD","1783-10-0","Metrô Santana","0","72486"
"1783-10","USD","1783-10-1","Cachoeira","1","72487"
"1783-22","U__","1783-22-0","Metrô Santana","0","79121"
"1785-10","USD","1785-10-0","Metrô Santana","0","72323"
"1785-10","USD","1785-10-1","Vl. Aurora","1","72324"
"1786-10","USD","1786-10-0","Metrô Santana","0","63717"
"1786-10","USD","1786-10-1","Vl. Albertina","1","63718"
"1787-10","USD","1787-10-0","Metrô Santana","0","53546"
"1787-10","USD","1787-10-1","Vl. Marieta","1","53547"
"1788-10","USD","1788-10-0","Metrô Santana","0","81765"
"1788-10","USD","1788-10-1","Jd. Fontális","1","73217"
"1788-51","U__","1788-51-0","Metrô Santana","0","54657"
"1788-51","U__","1788-51-1","Jd. Campo Limpo","1","54658"
"178A-10","USD","178A-10-0","Lapa","0","81860"
"178A-10","USD","178A-10-1","Metrô Santana","1","81861"
"178L-10","USD","178L-10-0","Hosp. Das Clínicas","0","80573"
"178L-10","USD","178L-10-1","Lauzane Paulista","1","53424"
"178T-10","USD","178T-10-0","Ceasa","0","82460"
"178T-10","USD","178T-10-1","Metrô Santana","1","82461"
"178Y-10","USD","178Y-10-0","Metrô Jd. São Paulo","0","63375"
"178Y-10","USD","178Y-10-1","Vl. Amélia","1","72294"
"178Y-21","U__","178Y-21-0","Metrô Jd. São Paulo","0","68778"
"178Y-21","U__","178Y-21-1","Conj. Dos Bancários","1","68779"
"179X-10","USD","179X-10-0","Metrô Barra Funda","0","71031"
"179X-10","USD","179X-10-1","Jd. Fontális","1","71032"
"1896-10","USD","1896-10-0","Pça. Ramos De Azevedo","0","70663"
"1896-10","USD","1896-10-1","Jaraguá","1","80646"
"189L-10","USD","189L-10-0","Lapa","0","63527"
"189L-10","USD","189L-10-1","Conexão Vl. Iório","1","72337"
"199D-10","USD","199D-10-0","Term. Pinheiros","0","73035"
"199D-10","USD","199D-10-1","Conexão Vl. Iório","1","73036"
"2002-10","USD","2002-10-0","Term. Bandeira","0","82358"
"2004-10","USD","2004-10-0","Cptm Guaianases","0","72903"
"2004-10","USD","2004-10-1","Jd. Nsa. Sra. Do Caminho","1","72904"
"2005-10","USD","2005-10-0","São Miguel","0","60783"
"2006-10","USD","2006-10-0","Cptm Itaim Paulista","0","70207"
"2006-10","USD","2006-10-1","Cid. Kemel I","1","70212"
"2007-10","USD","2007-10-0","Cptm Itaim Paulista","0","61824"
"2007-10","USD","2007-10-1","Cid. Kemel Ii","1","61825"
"2008-10","USD","2008-10-0","Cptm Itaim Paulista","0","52774"
"2008-10","USD","2008-10-1","Jd. Nsa. Sra. Do Caminho","1","70208"
"2009-10","USD","2009-10-0","Cptm Guaianases","0","64506"
"2009-10","USD","2009-10-1","Jd. Robru","1","79110"
"2010-10","USD","2010-10-0","Shop. D","0","71870"
"2010-10","USD","2010-10-1","Pq. Edu Chaves","1","71871"
"2011-10","USD","2011-10-0","Metrô Santana","0","80111"
"2011-10","USD","2011-10-1","Vl. Sabrina","1","80112"
"2012-10","US_","2012-10-0","Shop.d","0","69290"
"2013-10","USD","2013-10-0","Cachoeirinha","0","70111"
"2013-10","USD","2013-10-1","Cohab Antártica","1","79977"
"2014-10","USD","2014-10-0","Metrô Barra Funda","0","71033"
"2014-10","USD","2014-10-1","Jd. Pery Alto","1","71034"
"2016-10","USD","2016-10-0","São Miguel","0","70197"
"2016-10","USD","2016-10-1","Jd. Das Oliveiras","1","59109"
"2017-10","USD","2017-10-0","São Miguel","0","69021"
"2018-10","USD","2018-10-0","São Miguel","0","54224"
"2019-10","USD","2019-10-0","Shop. Penha","0","72024"
"2019-10","USD","2019-10-1","Pq. Paineiras","1","72026"
"2020-10","USD","2020-10-0","Metrô Tucuruvi","0","68839"
"2021-10","USD","2021-10-0","Cptm Guaianases","0","81088"
"2021-10","USD","2021-10-1","Jd. Bandeirantes","1","81089"
"2023-10","USD","2023-10-0","Metrô Tucuruvi","0","82184"
"2023-10","USD","2023-10-1","Cachoeira","1","82185"
"2023-41","U__","2023-41-0","Metrô Tucuruvi","0","82188"
"2023-41","U__","2023-41-1","Jd. Labitary","1","82189"
"2024-10","USD","2024-10-0","Cachoeira","0","72505"
"2025-10","USD","2025-10-0","Santana","0","64673"
"2025-10","USD","2025-10-1","Vl. Nova Galvão","1","71683"
"2026-10","USD","2026-10-0","Pq. Novo Mundo","0","79219"
