"fare_id","route_id","origin_id","destination_id","contains_id"
"Ônibus","2004-10","","",""
"Ônibus","2005-10","","",""
"Ônibus","2006-10","","",""
"Ônibus","2007-10","","",""
"Ônibus","2008-10","","",""
"Ônibus","2009-10","","",""
"Ônibus","2010-10","","",""
"Ônibus","2011-10","","",""
"Ônibus","2012-10","","",""
"Ônibus","2013-10","","",""
"Ônibus","2014-10","","",""
"Ônibus","2016-10","","",""
"Ônibus","2017-10","","",""
"Ônibus","2018-10","","",""
"Ônibus","2019-10","","",""
"Ônibus","2020-10","","",""
"Ônibus","2021-10","","",""
"Ônibus","2023-10","","",""
"Ônibus","2023-41","","",""
"Ônibus","2024-10","","",""
"Ônibus","2025-10","","",""
"Ônibus","2026-10","","",""
"Ônibus","2028-10","","",""
"Ônibus","2029-10","","",""
"Ônibus","2030-10","","",""
"Ônibus","2031-10","","",""
"Ônibus","2032-10","","",""
"Ônibus","2033-10","","",""
"Ônibus","2058-10","","",""
"Ônibus","2059-10","","",""
"Ônibus","2060-10","","",""
"Ônibus","2076-10","","",""
"Ônibus","2079-10","","",""
"Ônibus","2080-10","","",""
"Ônibus","2088-10","","",""
"Ônibus","208M-10","","",""
"Ônibus","208V-10","","",""
"Ônibus","209P-1","","",""
"Ônibus","209P-10","","",""
"Ônibus","2100-10","","",""
"Ônibus","2100-21","","",""
"Ônibus","2101-10","","",""
"Ônibus","2101-41","","",""
"Ônibus","2104-10","","",""
"Ônibus","2105-10","","",""
"Ônibus","211L-10","","",""
"Ônibus","211V-10","","",""
"Ônibus","2123-10","","",""
"Ônibus","2127-10","","",""
"Ônibus","213E-10","","",""
"Ônibus","2161-10","","",""
"Ônibus","2175-10","","",""
"Ônibus","2182-10","","",""
"Ônibus","2201-10","","",""
"Ônibus","2202-10","","",""
"Ônibus","2203-10","","",""
"Ônibus","2290-10","","",""
"Ônibus","2290-21","","",""
"Ônibus","233A-10","","",""
"Ônibus","233C-10","","",""
"Ônibus","2363-10","","",""
"Ônibus","2435-10","","",""
"Ônibus","2451-10","","",""
"Ônibus","2522-10","","",""
"Ônibus","2523-10","","",""
"Ônibus","253F-10","","",""
"Ônibus","2551-10","","",""
"Ônibus","2552-10","","",""
"Ônibus","2552-41","","",""
"Ônibus","2582-10","","",""
"Ônibus","2582-21","","",""
"Ônibus","2583-10","","",""
"Ônibus","2590-10","","",""
"Ônibus","2626-10","","",""
