stop_id,"stop_name","stop_desc",stop_lat,stop_lon
9907150,"Av. Francisco Mont Alverne, 647","Ref.: Av Embassis Chateaubriand",-23.598427,-46.765002
9907473,"Av. Dr. Kenkiti Shimomoto, 392","Ref.: Av. Victor Civita",-23.579570,-46.792952
10008715,"Av. Ver. Abel Ferreira, 164","Ref.: R Aureliano Lessa/ R Pedro Domingues",-23.555583,-46.574889
10008716,"Av. Ver. Abel Ferreira","Ref.: R Analia Franco/ R Aureliano Lessa",-23.556717,-46.572241
10008717,"Av. Ver. Abel Ferreira","Ref.: R Guanau/ R Analia Franco",-23.558097,-46.569099
10008718,"Av. Ver. Abel Ferreira, 1000","Ref.: Av Regente Feijo/ R Guandu",-23.559326,-46.567342
10008719,"Av. Reg. Feijó, 1136","Ref.: R Jose Ribeiro/ R Oiti",-23.559551,-46.567494
10008720,"Av. Reg. Feijó, 1044","Ref.: R Guandu/ R Jose Ribeiro",-23.559173,-46.568661
10008721,"Av. Reg. Feijó, 949","Ref.: R Butia/ R Jose Ribeiro",-23.558708,-46.569346
10008722,"Av. Reg. Feijó","Ref.: R Butia/ R Jose Ribeiro",-23.558646,-46.569806
10008723,"Av. Reg. Feijó, 653","Ref.: R Analia Franco/ R Ibo",-23.557510,-46.572018
10008724,"Av. Reg. Feijó, 534","Ref.: R Teofilo Dias/ R Analia Franco",-23.557142,-46.572916
10008725,"Av. Reg. Feijó, 374","Ref.: R Aureliano Lessa/ R Agua Rasa",-23.556381,-46.574734
10008726,"Av. Reg. Feijó, 315","Ref.: R Aureliano Lessa/ R Agua Rasa",-23.556122,-46.575108
10008727,"R. Anália Franco, 201","Ref.: R Pantojo/ R Joaquim Marques",-23.558572,-46.572904
10008728,"R. Anália Franco, 278","Ref.: R Pantojo/ R Joaquim Marques",-23.559084,-46.573287
10008729,"R. Bom Jesus, 337","Ref.: R Analia Franco/ R Imbo",-23.560470,-46.573968
10008730,"R. Imbó, 496","Ref.: R Jabaete/ Av Sapopemba",-23.561571,-46.573912
10008731,"Av. Sapopemba, 262","Ref.: R Gregorio Matos/ R Piraja",-23.559762,-46.576359
10008732,"Av. Sapopemba, 331","Ref.: R Alto Bonito/ R Gregorio Matos",-23.560203,-46.575946
10008733,"Av. Sapopemba, 535","Ref.: R Ibo/ Tr Nicola Aurichio",-23.561515,-46.574574
10008734,"Av. Sapopemba, 572","Ref.: R Ibo/ Tr Nicola Aurichio",-23.561822,-46.574338
10008735,"Av. Sapopemba, 735","Ref.: R Boa Espera/ R Furquim De Lorena",-23.562685,-46.573095
10008736,"Av. Sapopemba, 770","Ref.: R Boa Espera/ R Furquim De Lorena",-23.562949,-46.572933
10008737,"Av. Sapopemba, 929","Ref.: R Do Alipio/ R Pico Negro",-23.563834,-46.571684
10008738,"Av. Sapopemba, 1088","Ref.: R Atalaia Velha/ R Do Alipio",-23.564826,-46.570599
10008739,"Av. Sapopemba, 1333","Ref.: R Toriba/ R Miguel Mota",-23.567211,-46.569561
10008740,"Av. Sapopemba, 1444","Ref.: R Toriba/ R Miguel Mota",-23.567705,-46.569632
10008741,"Av. Sapopemba, 1635","Ref.: R Americo Werneck/ R Amapa",-23.569255,-46.569583
10008742,"Av. Sapopemba, 1728","Ref.: R Americo Werneck/ R Amapa",-23.570056,-46.569583
10008744,"Av. Adutora Do Rio Claro, 26","Ref.: R Juliano Moreira/ Av Sapopemba",-23.573331,-46.566534
10008745,"Av. Sapopemba, 1952","Ref.: R Do Orfanato/ Av Adutora Do Rio Claro",-23.572372,-46.568898
10008747,"Av. Sapopemba, 2629","Ref.: R Lavinia Ribeiro/ R Luis Geraldo Da Silva",-23.573325,-46.563648
10008748,"Av. Sapopemba, 2748","Ref.: R Joao Bizarro Da Nave/ Pc Eduardo Taberneiro Rangel",-23.573264,-46.562498
10008749,"R. Dr. Gabriel De Resende, 453","Ref.: Av Luca/ R Padre Mauricio",-23.572435,-46.562214
10008750,"R. Dr. Gabriel De Resende, 360","Ref.: R Raimundo Correia/ R Padre Mauricio",-23.572152,-46.563148
10008751,"R. Dr. Gabriel De Resende, 255","Ref.: Pq Dom Pedro I/ R Raimundo Correia",-23.571712,-46.564128
10008752,"R. Dr. Gabriel De Resende, 102","Ref.: R Paul Rivet/ Pq Dom Pedro I",-23.571494,-46.565585
10008753,"R. Dr. Gabriel De Resende, 57","Ref.: R Paul Rivet/ R General Argolo",-23.571276,-46.566106
10008755,"R. Gen. Argolo, 665","Ref.: Pc Sao Luis Do Curu/ R Doutor Goulart Penteado",-23.569475,-46.566208
10008756,"Pça. S. Luís Do Curu, 60","Ref.: R General Argolo/ R Capitao Lorena",-23.569529,-46.566516
10008757,"R. Marumbi","Ref.: R Quixada/ R Manuel Veiga",-23.569757,-46.568209
10008758,"R. Alm. Alexandrino, 480","Ref.: R Marumbi/ Pc Manoel De Mesquita",-23.569817,-46.568631
10008759,"R. Alm. Alexandrino, 121","Ref.: R Manoel Gomes/ R Miguel Mota",-23.566773,-46.569386
10008760,"R. Alm. Alexandrino, 100","Ref.: R Manoel Gomes/ R Miguel Mota",-23.567038,-46.569105
10008762,"Av. Ver. Abel Ferreira, 1560","Ref.: Av Regente Feijo/ R Jacob Fath",-23.561290,-46.565943
10008763,"Av. Ver. Abel Ferreira","Ref.: R Professor Giuliani/ R Jacob Fath",-23.563311,-46.562818
10008764,"Av. Ver. Abel Ferreira, 1811","Ref.: R Santiago Rodrigues/ R Engenheiro Cestari",-23.564546,-46.560347
10008765,"Av. Ver. Abel Ferreira, 3069","Ref.: Av Montemagno/ R Diego Rojas",-23.565872,-46.557773
10008766,"Av. Ver. Abel Ferreira, 2602","Ref.: R Diego Rojas/ Av Montemagno",-23.568130,-46.554815
10008777,"Av. Ver. Abel Ferreira, 2956","Ref.: Av Montemagno/ R Diego Rojas",-23.565362,-46.558071
10008779,"Av. Ver. Abel Ferreira","Ref.: R Gabriel Grupello/ R Arnaldo Rosa",-23.563310,-46.562231
10008780,"Av. Ver. Abel Ferreira","Ref.: Av Regente Feijo/ R Jacob Fath",-23.560870,-46.565874
10008781,"R. Bruna, 553","Ref.: R Soldado Ocimar Guimaraes Da Silva/ R Capitao Ferraiuolo",-23.566302,-46.558857
10008782,"R. Bruna, 289","Ref.: R Andre Sanches Cuenca/ R Placido De Castro",-23.568467,-46.559850
10008783,"Av. Luca, 81","Ref.: R Florio/ R Doutor Gabriel De Resende",-23.571932,-46.561450
10008784,"Av. Luca, 96","Ref.: R Florio/ R Doutor Gabriel De Resende",-23.571773,-46.561268
10008785,"Av. Luca, 366","Ref.: R Maria Afonso/ R Bruna",-23.570033,-46.559855
10008786,"Av. Luca, 586","Ref.: R Nossa Senhora Dos Anjos/ R Paulina",-23.569309,-46.557695
10008787,"Av. Montemagno, 958","Ref.: R Antonio Andre Rodrigues/ R Armando Dias",-23.569501,-46.555921
10008788,"Av. Montemagno, 1021","Ref.: R Miranda Jordao/ R Armando Dias",-23.569495,-46.555287
10008791,"Av. Montemagno, 559","Ref.: R Bruna/ R Maria Afonso",-23.567022,-46.558305
10008825,"R. Dante Pellacani, 52","Ref.: R Demetrio Ribeiro/ R General Calado",-23.552911,-46.575558
10008826,"R. Mal. Barbacena, 445","Ref.: R Dante Pellacani/ R Bento Goncalves",-23.554825,-46.574696
10008827,"R. Mal. Barbacena, 510","Ref.: R Dante Pellacani/ R Bento Goncalves",-23.554957,-46.574475
10008828,"R. Mal. Barbacena, 741","Ref.: R Bento Goncalves/ R Analia Franco",-23.555862,-46.572022
10008829,"R. Mal. Barbacena, 764","Ref.: R Bento Goncalves/ R Analia Franco",-23.555958,-46.571970
10008831,"R. Br. Do Serro Largo, 197","Ref.: R Alfredo Vaz Medeiros/ R Pedro Nicolau Bernardo",-23.552831,-46.569662
10008832,"R. Bento Gonçalves, 424","Ref.: R Barao Do Serro Largo/ Pc Rosa Laudelina De Carvalho",-23.553267,-46.569668
10012696,"R. Jaboticabal, 828","Ref.: R Cambara/ R Do Erario",-23.563612,-46.576841
10012697,"R. Jaboticabal, 1012","Ref.: R Cambara/ R Do Erario",-23.565158,-46.575908
10012698,"R. Água Rasa, 133","Ref.: R Pantojo/ Av Sapopemba",-23.556831,-46.576570
10012786,"Av. Sapopemba, 3207","Ref.: R Antonio Andre Rodrigues/ R Armando Dias",-23.573710,-46.558189
10012793,"Av. Sapopemba, 3280","Ref.: R Armando Dias/ R Antonio Gomes",-23.574027,-46.557554
10012794,"Av. Sapopemba, 3112","Ref.: Tr Professor Luiz Alves Lobo/ R Nossa Senhora Dos Anjos",-23.573573,-46.558992
10012795,"Av. Sapopemba, 3013","Ref.: R Joao Carnevalli/ R Paulina",-23.573169,-46.559910
10012796,"Pça. Nsa. Sra. De Montesa","Ref.: R Antero De Quental/ R Emas",-23.574809,-46.564081
10012797,"Pça. Nsa. Sra. De Montesa","Ref.: R Antero De Quental/ R Emas",-23.574817,-46.564114
10012798,"R. Antero De Quental","Ref.: R Ligiana/ R Buenopolis",-23.576206,-46.563538
10012799,"R. Antero De Quental","Ref.: R Marius/ R Ligiana",-23.577492,-46.562943
10012800,"R. Domingos Afonso, 460","Ref.: R Igaratinga / R Marius",-23.578194,-46.562714
10012801,"R. Cairiri","Ref.: R Nhengaibas/ R Fernao Marques",-23.580149,-46.564178
10012802,"R. Domingos Afonso, 730","Ref.: R Fernao Marques/ R Nhengaibas",-23.580402,-46.563023
10014089,"R. Siqueira Bueno, 2128","Ref.: R Brodosqui/ R Areas",-23.554408,-46.583283
10014090,"R. Mj. Basílio, 635","Ref.: R Tie/ R Siqueira Bueno",-23.557606,-46.580472
10014091,"R. Mj. Basílio, 351","Ref.: R Dois Corregos/ R Tie",-23.558089,-46.582871
10014092,"R. Mj. Basílio, 93","Ref.: Pc Pinheiro Raposo",-23.558576,-46.585443
10014093,"R. Fernando Falcão, 700","Ref.: Pc Alexandre Fleming/ R Joana D Arc",-23.559517,-46.586718
10014094,"R. Do Acre, 196","Ref.: R Florianopolis/ R Teresina",-23.560063,-46.583679
10014095,"R. Do Acre, 496","Ref.: R Natal/ R Piracununga",-23.558556,-46.580990
10014096,"R. Do Acre, 780","Ref.: R Guarei/ R Mogi Mirim",-23.558024,-46.578377
10014097,"Av. Álvaro Ramos, 2260","Ref.: Av Regente Feijo/ Largo Do Arroz",-23.554794,-46.577986
10014098,"Av. Álvaro Ramos, 2129","Ref.: Av Regente Feijo/ Largo Do Arroz",-23.553723,-46.578479
10014099,"Av. Álvaro Ramos, 2048","Ref.: R Serra De Jaire/ R Cavalieri",-23.553104,-46.578948
10014100,"Av. Álvaro Ramos, 1917","Ref.: R Monte Azul/ R Cavalieri",-23.552012,-46.579417
10014101,"Av. Álvaro Ramos, 1828","Ref.: R Silva/ R Teresa",-23.551352,-46.579910
10014102,"R. Teresa, 29","Ref.: Av Alvaro Ramos/ R Serra De Jaire",-23.551727,-46.579914
10014103,"R. Monte Azul, 21","Ref.: Av Alvaro Ramos/ R Monte Alto",-23.551741,-46.579379
10014114,"Av. Álvaro Ramos, 2526","Ref.: R Major Basilio/ R Joaquina De Almeida",-23.557059,-46.578227
10014115,"R. Br. De Penedo, 30","Ref.: R Vergel/ R Serra De Jaire",-23.553623,-46.580237
10014116,"R. Itamaracá, 102","Ref.: Av Alvaro Ramos/ R Serra De Jaire",-23.551384,-46.580934
10014117,"R. Itamaracá, 94","Ref.: R Vergel/ R Serra De Jaire",-23.552453,-46.581939
10014120,"R. Fernando Falcão, 327","Ref.: Pc Professor Osorio De Almeida/ R Doutor Joao Inacio Teixeira",-23.556755,-46.585122
10014121,"R. Fernando Falcão, 378","Ref.: R Cassandoca/ Pc Professor Osorio De Almeida",-23.557010,-46.585382
10014200,"R. Do Orfanato, 1349","Ref.: R Murcia/ R Agulha",-23.576372,-46.573065
10014201,"R. Do Orfanato, 1412","Ref.: R Murcia/ R Tagaris",-23.576169,-46.572502
10014202,"R. Do Oratório, 3773","Ref.: R Tomas Da Fonseca/ R Antonio Padua De Oliveira",-23.577026,-46.577027
10014204,"R. Itapigi, 145","Ref.: R Padre Leonel Franca/ R Delegado Ernani Braga",-23.575395,-46.578176
10014205,"R. Do Oratório, 3013","Ref.: R Agua Marinha/ R Jose Zappi",-23.573162,-46.581056
10014206,"R. Do Oratório, 2930","Ref.: R Jose Zappi/ R Padre Carlos Da Silva",-23.572810,-46.581596
10014207,"R. Do Oratório, 2665","Ref.: R Clemente Bonifacio/ R Enta",-23.570492,-46.581232
10014208,"R. Do Oratório, 2544","Ref.: R Doutor Jose Higino/ Tr Clemente Bonifacio",-23.569331,-46.581652
10014211,"R. Do Oratório, 1954","Ref.: R Jose Verissimo/ R Barretos",-23.567730,-46.586533
10014212,"R. Do Oratório, 1911","Ref.: R Jose Verissimo/ R Barretos",-23.567455,-46.586781
10014213,"R. Do Oratório, 1799","Ref.: R Sebastiao Preto/ R Isabel Dias",-23.566724,-46.587644
10014215,"R. Do Oratório, 1601","Ref.: R Valentim Magalhaes/ R Fernando Falcao",-23.565513,-46.588958
10014222,"R. Da Mooca, 4846","Ref.: R Avai/ R Piracununga",-23.562063,-46.579492
10014223,"R. Da Mooca, 4845","Ref.: R Avai/ R Piracununga",-23.561997,-46.579473
10014224,"R. Da Mooca, 4646","Ref.: R Natal/ R Ibitinga",-23.561824,-46.581024
10014225,"R. Da Mooca, 4497","Ref.: R Teresina/ R Natal",-23.561664,-46.582870
10014226,"R. Da Mooca, 4420","Ref.: R Teresina/ R Florianopolis",-23.561599,-46.583439
10014227,"R. Da Mooca, 4305","Ref.: R Florianopolis/ Pc Andre Maciel",-23.561094,-46.584425
10014228,"R. Da Mooca, 4116","Ref.: R Olga Cecilia/ R Emilio Pestana",-23.560392,-46.586062
10014431,"R. Manoel Onha, 153","Ref.: R Agua Marinha/ R Do Oratorio",-23.572412,-46.580230
10014432,"R. Silva Coutinho, 112","Ref.: R Do Oratorio/ R Lucio Cardoso",-23.571634,-46.580445
10014433,"R. Manoel Onha, 367","Ref.: R Silva Coutinho/ R Paulo De Lima Correia",-23.572664,-46.578293
10014434,"R. Corumbaíba, 645","Ref.: R Farol Paulistano/ Pc Pinto Duarte",-23.570790,-46.576131
10014435,"R. Corumbaíba, 480","Ref.: R Acaraica/ R Farol Paulistano",-23.569285,-46.575921
10014436,"R. Corumbaíba, 481","Ref.: R Acaraica/ R Farol Paulistano",-23.569240,-46.575869
10014437,"R. Corumbaíba, 213","Ref.: R Sao Pomponio/ R Jaboticabal",-23.569966,-46.577021
10014438,"Pça. Tristão Da Cunha, 18","Ref.: Rua Dr. José Higino",-23.569387,-46.578331
10014441,"R. Dr. José Higino, 805","Ref.: R Ati Acu/ R Corumbaiba",-23.568290,-46.577434
10014442,"R. Jaboticabal, 1199","Ref.: R Do Erario/ R Doutor Jose Higino",-23.566678,-46.576051
10014443,"R. Dr. José Higino, 28","Ref.: R Antonio Silvinho Suannes/ R Piracununga",-23.568030,-46.579922
10014446,"R. Campo Largo, 110","Ref.: Rua Barretos",-23.567299,-46.584517
10014447,"R. Campo Largo, 37","Ref.: Rua Barretos",-23.567253,-46.584966
10014448,"R. Barretos, 577","Ref.: R Leopoldo Froes/ R Lituania",-23.565548,-46.585604
10014466,"R. Pereira Jacome, 19","Ref.: Pc Pinheiro Raposo/ R Dois Corregos",-23.558948,-46.584983
20012808,"R. Heitor Penteado, 2151","Ref.: R Araioses/ R Cerro Cora",-23.541328,-46.697002
20012809,"R. Cerro Cora, 255","Ref.: R Ibiracu/ R Araioses / Pça. Amadeu Decome",-23.541004,-46.699303
20014635,"R. Pio Xi, 1764","Ref.: R Caiaponia/ Pc Reverendo Manoel Da Silveira Porto Filho",-23.538456,-46.714389
20014636,"R. Pio Xi, 1765","Ref.: R Caiaponia/ Pc Reverendo Manoel Da Silveira Porto Filho",-23.538434,-46.714288
20014638,"R. Pio Xi, 2135","Ref.: R Bergamota/ R Ucaiari",-23.540719,-46.714678
20014639,"R. Pio Xi, 2270","Ref.: R Antonio Alarcon/ R Bergamota",-23.540777,-46.715928
20014640,"Av. Diógenes Ribeiro De Lima, 2200","Ref.: R Dardanelos/ R Pio Xi",-23.540805,-46.717686
20014641,"Av. Diógenes Ribeiro De Lima, 2338","Ref.: R Majubim/ R Dardanelos",-23.539866,-46.718408
20014642,"Av. Diógenes Ribeiro De Lima, 2345","Ref.: R Majubim/ R Dardanelos",-23.539616,-46.718541
20014644,"Av. Pe. Pereira De Andrade, 127","Ref.: R Laiana/ R Baicuri",-23.537593,-46.719526
20014695,"R. Dos Macunis, 441","Ref.: R Natingui/ R Jubiaba",-23.557019,-46.698339
20014696,"R. Dos Macunis, 746","Ref.: Av Diogenes Ribeiro De Lima/ R Professor Moniz",-23.555216,-46.700680
20014697,"Av. Diógenes Ribeiro De Lima","Ref.: Av Diogenes Ribeiro De Lima/ R Mario Guastini",-23.554690,-46.701915
20014698,"Av. Diógenes Ribeiro De Lima","Ref.: Av Dos Semaneiros/ R Decio Reis",-23.553395,-46.704089
20014699,"Av. Diógenes Ribeiro De Lima","Ref.: Av Dos Semaneiros/ R Decio Reis",-23.553393,-46.704259
20014700,"Av. Diógenes Ribeiro De Lima, 481","Ref.: R Ende/ R Dona Elisa Moraes Mendes",-23.551460,-46.706459
20014701,"Av. Diógenes Ribeiro De Lima, 580","Ref.: R Ende/ R Dona Elisa Moraes Mendes",-23.550996,-46.706859
20014702,"Av. Diógenes Ribeiro De Lima, 671","Ref.: R Capivarinhas/ R Dona Elisa Moraes Mendes",-23.550441,-46.707787
20014703,"Av. Diógenes Ribeiro De Lima, 810","Ref.: R Capivarinhas/ R Timbuiba",-23.549709,-46.708716
20014704,"Av. Diógenes Ribeiro De Lima, 1045","Ref.: R Doutor Alberto Seabra/ R Orobo",-23.548378,-46.710728
20014705,"Av. Diógenes Ribeiro De Lima, 1154","Ref.: R Doutor Alberto Seabra/ R Orobo",-23.547532,-46.711777
20014706,"Av. Diógenes Ribeiro De Lima, 1321","Ref.: R Belini/ R Orobo",-23.546712,-46.712838
20014707,"Av. Diógenes Ribeiro De Lima, 1360","Ref.: R Belini/ R Orobo",-23.546311,-46.713138
20014708,"Av. Diógenes Ribeiro De Lima, 1658","Ref.: Rua Murajuba",-23.544539,-46.714837
20014709,"Av. Diógenes Ribeiro De Lima, 1768","Ref.: R Berlioz/ R Belini",-23.544122,-46.715283
20014710,"Av. Diógenes Ribeiro De Lima","Ref.: R Ariqueme/ R Victor Salzo",-23.542111,-46.716412
20014711,"Av. Diógenes Ribeiro De Lima, 1888","Ref.: R Ariqueme/ R Victor Salzo",-23.541866,-46.716456
20014712,"Av. Pe. Pereira De Andrade, 758","Ref.: R Ariqueme/ Av Bagiru",-23.543566,-46.718917
20014713,"Av. Pe. Pereira De Andrade, 795","Ref.: R Ariqueme/ Av Bagiru",-23.544124,-46.718682
20014714,"Av. S. Gualter, 1331","Ref.: R Doutor Carlos Norberto De Souza Aranha/ R Doutor Alberto Seabra",-23.546635,-46.710518
